Time,ParticipantID,DatasetID,TechniqueID,RepetitionID,mapPosx,mapPosy,mapPosz,mapRotaionx,mapRotationy,mapRotationz,markerHandPosx,markerHandPosy,markerHandPosz,reletivePosx,reletivePosy,reletivePosz,Lable
0.2684631,16,3,3,1,0.6991934,0.9229989,0.3658661,278.0461,259.0411,70.93689,0.7795978,0.7952133,0.3262741,3.754662,7.970709,-15.90044,Nothing
0.2766113,16,3,3,1,0.6988432,0.9231318,0.3665074,278.0746,259.1622,70.60383,0.7793499,0.795247,0.3260959,3.679841,8.065514,-15.91592,Nothing
0.2861938,16,3,3,1,0.6995529,0.9253246,0.3639614,278.2859,256.1226,74.09332,0.7789193,0.7952171,0.3263685,3.667954,7.770371,-16.13694,Nothing
0.3016663,16,3,3,1,0.6990346,0.9276831,0.3632746,278.5522,253.9262,76.18865,0.778066,0.7949601,0.3258891,3.496299,7.792413,-16.42198,Nothing
0.3104858,16,3,3,1,0.6985208,0.929729,0.3626128,278.7663,250.9218,79.06881,0.7774533,0.7949507,0.3259407,3.391937,7.826539,-16.6252,Nothing
0.3182678,16,3,3,1,0.6984422,0.9296983,0.3627344,278.7574,250.6451,79.29193,0.7771832,0.7950336,0.325911,3.359436,7.846518,-16.60209,Nothing
0.3266907,16,3,3,1,0.6981513,0.9318802,0.3612012,279.0103,246.6314,83.33479,0.7765658,0.7951003,0.3258377,3.284282,7.837439,-16.79089,Nothing
0.3354797,16,3,3,1,0.6982915,0.9317647,0.3609633,278.9904,245.6804,84.31921,0.7763476,0.7949021,0.3255845,3.253481,7.859365,-16.77355,Nothing
0.3444214,16,3,3,1,0.6983452,0.9338839,0.3587738,279.2822,240.8199,89.30891,0.7753914,0.7946219,0.325377,3.150262,7.809574,-16.96485,Nothing
0.3518982,16,3,3,1,0.6987295,0.9337988,0.3582376,279.2741,239.5925,90.59032,0.7751478,0.7948629,0.3252471,3.128898,7.786769,-16.89357,Nothing
0.3605957,16,3,3,1,0.6992021,0.9358287,0.3555301,279.6752,233.7274,96.65881,0.7743495,0.7951863,0.3255813,3.080464,7.684786,-16.98627,Nothing
0.3694153,16,3,3,1,0.6996212,0.93591,0.3547708,279.6852,232.4981,97.95211,0.7744064,0.7946103,0.3255933,3.090815,7.64437,-17.03664,Nothing
0.3848877,16,3,3,1,0.7004693,0.9375915,0.3514209,280.1947,225.7597,104.9143,0.7731515,0.7943893,0.3247317,2.945871,7.631654,-17.10456,Nothing
0.3932495,16,3,3,1,0.7010769,0.9389276,0.3484644,280.7464,219.9411,110.8685,0.7718243,0.7947187,0.3240872,2.831305,7.632278,-17.0815,Nothing
0.4017639,16,3,3,1,0.7010753,0.9388166,0.348755,280.7343,220.0249,110.7221,0.7717606,0.7948498,0.3238998,2.796687,7.672682,-17.04723,Nothing
0.4102173,16,3,3,1,0.7014828,0.9394926,0.3472084,281.2001,215.2549,115.254,0.7705271,0.7955112,0.3231198,2.631994,7.809419,-16.90628,Nothing
0.4191284,16,3,3,1,0.7012289,0.9405677,0.3463409,281.6568,211.5677,118.5423,0.7704985,0.7956367,0.3231122,2.615525,8.014393,-16.91916,Nothing
0.4269409,16,3,3,1,0.700636,0.9406269,0.3475261,281.5126,211.9916,117.8663,0.7692176,0.796626,0.3222852,2.441209,8.134021,-16.7809,Nothing
0.4361267,16,3,3,1,0.6998097,0.9416911,0.3479121,281.7927,209.325,119.8478,0.7677106,0.797895,0.3215671,2.227941,8.403441,-16.63886,Nothing
0.4435425,16,3,3,1,0.6992826,0.9417802,0.3485022,281.6479,209.9155,119.0855,0.767541,0.7983115,0.3217209,2.237157,8.420558,-16.61991,Nothing
0.4518127,16,3,3,1,0.6981508,0.9426194,0.3497258,281.7021,207.7583,120.3426,0.7657258,0.8001565,0.3209096,1.991446,8.715472,-16.38844,Nothing
0.4599304,16,3,3,1,0.698218,0.9424186,0.3498355,281.6545,207.6781,120.3851,0.7652979,0.800923,0.3209223,1.965439,8.681032,-16.2705,Nothing
0.4683838,16,3,3,1,0.6972921,0.9431217,0.3505948,281.7297,205.0745,122.1546,0.7625374,0.8034036,0.3200989,1.666207,8.860274,-15.93342,Nothing
0.476532,16,3,3,1,0.6974663,0.942923,0.3505872,281.6889,204.6269,122.5827,0.7620363,0.8038156,0.3196216,1.605567,8.870544,-15.83613,Nothing
0.485199,16,3,3,1,0.6970233,0.9429876,0.3514408,281.7951,200.9059,125.4783,0.7588334,0.8067805,0.3184452,1.24435,9.055227,-15.31995,Nothing
